sv_id,task_id,func,topic,mo_ta_loi,actual_error_type,set1_pass,set1_total,set1_tpr,is_fp_set1,is_fn_set1,set2_pass,set2_total,set2_tpr,is_fp_set2,is_fn_set2,set3_pass,set3_total,set3_tpr,is_fp_set3,is_fn_set3,set4_pass,set4_total,set4_tpr,is_fp_set4,is_fn_set4
SV001,1,sum_list,list,Cộng index thay vì giá trị — WA với mọi input,WA,0,3,0.0,False,False,2,9,22.22,False,False,2,9,22.22,False,False,0,9,0.0,False,False
SV002,1,sum_list,list,Quên return — trả None,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False
SV003,1,sum_list,list,Hard-code kết quả bài test đầu tiên,HC,3,3,100.0,True,False,8,9,88.89,False,False,8,9,88.89,False,False,6,9,66.67,False,False
SV004,2,is_even,math,Syntax Error — thiếu dấu :,CE,0,3,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False
SV005,2,is_even,math,Luôn trả True — pass public test chẵn,WA,2,3,66.67,False,False,5,9,55.56,False,False,5,9,55.56,False,False,1,9,11.11,False,False
SV006,3,reverse_string,string,Đảo ngược sai — thiếu -1 trong range,WA,0,3,0.0,False,False,2,9,22.22,False,False,2,9,22.22,False,False,0,9,0.0,False,False
SV007,4,find_max,list,Lấy phần tử đầu sorted thay vì cuối,IndexError,0,3,0.0,False,False,2,9,22.22,False,False,2,9,22.22,False,False,0,9,0.0,False,False
SV008,4,find_max,list,IndexError khi list rỗng — hidden test bắt được,IndexError,3,3,100.0,True,False,8,9,88.89,False,False,8,9,88.89,False,False,3,9,33.33,False,False
SV009,6,factorial,math,factorial - Solution đúng hoàn toàn,AC,3,3,100.0,False,False,9,9,100.0,False,False,9,9,100.0,False,False,9,9,100.0,False,False
SV010,6,factorial,math,"Hard-code n<=3, sai với n>=4",HC,2,3,66.67,False,False,4,9,44.44,False,False,4,9,44.44,False,False,0,9,0.0,False,False
SV011,7,is_palindrome,string,Luôn trả True — FP với public test,WA,2,3,66.67,False,False,5,9,55.56,False,False,5,9,55.56,False,False,1,9,11.11,False,False
SV012,8,remove_duplicates,list,set mất thứ tự — FP với public test đơn giản,WA,3,3,100.0,True,False,6,9,66.67,False,False,6,9,66.67,False,False,5,9,55.56,False,False
SV013,9,average,math,Không xử lý danh sách rỗng — ZeroDivisionError,ZeroDivisionError,3,3,100.0,True,False,6,8,75.0,False,False,7,9,77.78,False,False,3,9,33.33,False,False
SV014,9,average,math,Trả int thay vì float,WA,3,3,100.0,True,False,8,8,100.0,True,False,8,9,88.89,False,False,4,9,44.44,False,False
SV015,11,is_prime,math,"Không xử lý n=0,n=1 — FP với public",WA,3,3,100.0,True,False,7,9,77.78,False,False,7,9,77.78,False,False,3,9,33.33,False,False
SV016,11,is_prime,math,Thiếu kiểm tra n<2 nhưng có range đúng,WA,3,3,100.0,True,False,7,9,77.78,False,False,7,9,77.78,False,False,3,9,33.33,False,False
SV017,12,sum_even,list,Tính tổng số lẻ thay vì chẵn,WA,0,3,0.0,False,False,5,9,55.56,False,False,5,9,55.56,False,False,0,9,0.0,False,False
SV018,13,fibonacci,math,Đệ quy thiếu base case n=0 — RecursionError,RecursionError,1,3,33.33,False,False,2,9,22.22,False,False,2,9,22.22,False,False,0,9,0.0,False,False
SV019,14,count_words,string,Không xử lý chuỗi có khoảng trắng liên tiếp hoặc đầu/cuối - WA,WA,3,3,100.0,True,False,4,9,44.44,False,False,4,9,44.44,False,False,3,9,33.33,False,False
SV020,15,sort_list,list,Sắp xếp giảm dần thay vì tăng dần,WA,1,3,33.33,False,False,4,9,44.44,False,False,4,9,44.44,False,False,0,9,0.0,False,False
SV021,16,find_min,list,Trả max thay vì min,WA,0,3,0.0,False,False,3,9,33.33,False,False,3,9,33.33,False,False,0,9,0.0,False,False
SV022,17,has_negative,math,"Kiểm tra <=0 thay vì <0, sai với 0",WA,3,3,100.0,True,False,5,5,100.0,True,False,8,9,88.89,False,False,4,9,44.44,False,False
SV023,18,product_list,string,Tính tổng thay vì tích,WA,2,3,66.67,False,False,6,9,66.67,False,False,6,9,66.67,False,False,1,9,11.11,False,False
SV024,20,is_anagram,list,So sánh len thay vì ký tự,WA,2,3,66.67,False,False,8,9,88.89,False,False,8,9,88.89,False,False,1,9,11.11,False,False
SV025,21,count_positive,math,"Đếm >=0 thay vì >0, sai với 0",WA,3,3,100.0,True,False,5,9,55.56,False,False,5,9,55.56,False,False,4,9,44.44,False,False
SV026,22,get_evens,string,Lấy số lẻ thay vì số chẵn,WA,0,3,0.0,False,False,2,9,22.22,False,False,2,9,22.22,False,False,0,9,0.0,False,False
SV027,23,power,math,Nhân n thay vì lũy thừa,WA,0,3,0.0,False,False,1,9,11.11,False,False,1,9,11.11,False,False,0,9,0.0,False,False
SV028,24,is_sorted,string,Trả về False cho danh sách rỗng hoặc có 1 phần tử - WA,WA,3,3,100.0,True,False,7,9,77.78,False,False,7,9,77.78,False,False,3,9,33.33,False,False
SV029,26,count_negative,list,Đếm <=0 thay vì <0,WA,3,3,100.0,True,False,5,9,55.56,False,False,5,9,55.56,False,False,4,9,44.44,False,False
