sv_id,task_id,func,mo_ta_loi,pub_pass,pub_total,pub_tpr,pub_errors,hid_pass,hid_total,hid_tpr,hid_errors,is_false_positive
SV001,1,sum_list,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV002,1,sum_list,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,1,3,33.33,"{'SE': 0, 'WA': 2, 'RE': 0, 'TLE': 0, 'MLE': 0}",3,10,30.0,"{'SE': 0, 'WA': 7, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV003,2,is_even,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV004,2,is_even,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,1,3,33.33,"{'SE': 0, 'WA': 2, 'RE': 0, 'TLE': 0, 'MLE': 0}",1,10,10.0,"{'SE': 0, 'WA': 9, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV005,3,reverse_string,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV006,3,reverse_string,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",10,10,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV007,4,find_max,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV008,4,find_max,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,1,3,33.33,"{'SE': 0, 'WA': 2, 'RE': 0, 'TLE': 0, 'MLE': 0}",1,10,10.0,"{'SE': 0, 'WA': 9, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV009,5,count_char,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV010,5,count_char,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
